PG;ANNO PG;POSIZIONE;PUNTEGGIO;DISAGIO_ABITATIVO_P;PROGETTO_P;ALLOGGIO_IMPROPRIO_P;INIDONEITA_IMMOBILE_P;ANTIGIENICITA_P;SFRATTO_P;SISTEMAZIONE_PRECARIA_P;BASSO_ISEE_P;INCIDENZA_P;DISTANZA_P;GIOVANE_COPPIA_P;ADULTO_CON_FIGLIO_P;NUCLEO_MONOFAMILIARE_P;NUCLEO_PLURICOMPONENTE_P;CONDIZIONE_ANZIANA_P;CONDIZIONI_CERTIFICATE_P;CONDIZIONE_COABITAZIONE_P;AIRE_P;PROFUGHI_ITALIANI_P;ANZIANITA_DOMANDA_P
33385;2007;3955;17,00;;;;;;;;6,00;8,00;;;;;;;;;;;3,00
45082;2011;3956;17,00;;;;;;;;6,00;6,00;;5,00;;;;;;;;;
75439;2007;3957;17,00;;;;;;;;6,00;;;6,00;;;;;;2,00;;;3,00
117920;2011;3958;17,00;;;;;;;;6,00;8,00;;;;3,00;;;;;;;
147455;2011;3959;17,00;;;;;;;;6,00;6,00;;5,00;;;;;;;;;
58220;2007;3960;17,00;;;;;;;;6,00;6,00;2,00;;;;;;;;;;3,00
143031;2011;3961;17,00;;;;;;;;3,00;8,00;;6,00;;;;;;;;;
146095;2011;3962;17,00;;;;;;;;3,00;8,00;;6,00;;;;;;;;;
141388;2011;3963;17,00;;;;;;;;3,00;8,00;;6,00;;;;;;;;;
213114;2008;3964;17,00;;;;;;;;3,00;6,00;;6,00;;;;;;;;;2,00
33087;2010;3965;17,00;;;;;;;;3,00;6,00;;;7,00;;;;;;;;1,00
58186;2007;3966;17,00;;;;;;;;3,00;8,00;;;;3,00;;;;;;;3,00
64737;2007;3967;17,00;;;;;;;;3,00;8,00;;;;3,00;;;;;;;3,00
41945;2007;3968;17,00;;;;;;;;3,00;8,00;;;;3,00;;;;;;;3,00
59160;2007;3969;17,00;;;;;;;;3,00;3,00;2,00;;;;6,00;;;;;;3,00
42589;2007;3970;17,00;;;;;;;;3,00;;;;;3,00;;;5,00;3,00;;;3,00
34191;2007;3971;17,00;;;;;;;;3,00;8,00;;;;3,00;;;;;;;3,00
106464;2011;3972;17,00;;;;;;;;3,00;;;;14,00;;;;;;;;
71614;2007;3973;17,00;;;;;;;;3,00;6,00;;5,00;;;;;;;;;3,00
88291;2007;3974;17,00;;;;;6,00;;;3,00;3,00;;;;;;;;2,00;;;3,00
38686;2007;3975;17,00;;;;;;;;3,00;3,00;;6,00;;;;;;2,00;;;3,00
74827;2007;3976;17,00;;;;;;;;3,00;6,00;;;;;5,00;;;;;;3,00
53657;2011;3977;17,00;;;;;;;;3,00;6,00;;;;;;8,00;;;;;
33775;2007;3978;17,00;;;;;;;;3,00;6,00;;5,00;;;;;;;;;3,00
294235;2008;3979;17,00;;3,00;;;;;;3,00;;;;9,00;;;;;;;;2,00
55603;2007;3980;17,00;;;;;;;;3,00;8,00;;;;3,00;;;;;;;3,00
51871;2007;3981;17,00;;;;;;;;;3,00;;;;6,00;;;5,00;;;;3,00
67849;2007;3982;17,00;;;;;;;;;;3,00;;;;5,00;6,00;;;;;3,00
41947;2007;3983;17,00;;;;;;;;;6,00;;;;3,00;;;5,00;;;;3,00
285296;2008;3984;17,00;;;;8,00;;;;;;;;;;;;7,00;;;;2,00
153260;2011;3985;17,00;;;;5,00;;;;;;;;;;;;12,00;;;;
144715;2011;3986;17,00;;;;;;;;;;;;;10,00;;;7,00;;;;
40779;2007;3987;17,00;;;;;;14,00;;;;;;;;;;;;;;3,00
100343;2007;3988;16,50;;;;;;;;6,00;8,00;;;;;;;;;;;2,50
241370;2007;3989;16,50;;;;;;;;6,00;8,00;;;;;;;;;;;2,50
165464;2007;3990;16,50;;;;;;;;6,00;8,00;;;;;;;;;;;2,50
266011;2007;3991;16,50;;;;;;;;6,00;8,00;;;;;;;;;;;2,50
176361;2007;3992;16,50;;;;;;;;6,00;8,00;;;;;;;;;;;2,50
241330;2007;3993;16,50;;;;;;;;6,00;8,00;;;;;;;;;;;2,50
78596;2008;3994;16,50;;;;;;;;6,00;;;;;3,00;;;5,00;;;;2,50
284742;2007;3995;16,50;;;;;;;;6,00;;;5,00;;;;;;3,00;;;2,50
14676;2008;3996;16,50;;;;;;;;6,00;;;5,00;;;;;;3,00;;;2,50
281991;2007;3997;16,50;;;;;;;;6,00;8,00;;;;;;;;;;;2,50
241707;2007;3998;16,50;;;;;;;;6,00;8,00;;;;;;;;;;;2,50
8951;2008;3999;16,50;;;;;;;;6,00;8,00;;;;;;;;;;;2,50
249793;2007;4000;16,50;;;;;;;;6,00;8,00;;;;;;;;;;;2,50
257007;2007;4001;16,50;;;;;;;;6,00;8,00;;;;;;;;;;;2,50
285647;2007;4002;16,50;;;;;;;;6,00;8,00;;;;;;;;;;;2,50
281620;2007;4003;16,50;;;;;;;;6,00;8,00;;;;;;;;;;;2,50
280942;2007;4004;16,50;;;;;;;;6,00;8,00;;;;;;;;;;;2,50
67649;2008;4005;16,50;;;;;;;;6,00;8,00;;;;;;;;;;;2,50
93460;2008;4006;16,50;;;;;;;;6,00;;;;;3,00;;;5,00;;;;2,50
27086;2008;4007;16,50;;;;;;;;6,00;;;;;;6,00;;;2,00;;;2,50
307970;2007;4008;16,50;;;;;;;;6,00;;;5,00;;;;;;3,00;;;2,50
211281;2007;4009;16,50;;;;;;;;6,00;8,00;;;;;;;;;;;2,50
288260;2007;4010;16,50;;;;;;;;6,00;8,00;;;;;;;;;;;2,50
202243;2007;4011;16,50;;;;;;;;6,00;8,00;;;;;;;;;;;2,50
94625;2008;4012;16,50;;;;;;;;6,00;8,00;;;;;;;;;;;2,50
10067;2008;4013;16,50;;;;;;;;6,00;8,00;;;;;;;;;;;2,50
199735;2007;4014;16,50;;;;;;;;3,00;6,00;;5,00;;;;;;;;;2,50
282929;2007;4015;16,50;;;;;;;;3,00;6,00;;5,00;;;;;;;;;2,50
250670;2007;4016;16,50;;;;;;;;3,00;8,00;;;;3,00;;;;;;;2,50
80263;2008;4017;16,50;;;;;;;;3,00;8,00;;;;3,00;;;;;;;2,50
221090;2007;4018;16,50;;;;;;;;3,00;8,00;;;;3,00;;;;;;;2,50
82662;2008;4019;16,50;;;;;;;;3,00;3,00;2,00;6,00;;;;;;;;;2,50
95814;2008;4020;16,50;;;;;;;;3,00;8,00;;;;3,00;;;;;;;2,50
81559;2008;4021;16,50;;;;;;;;3,00;8,00;;;;3,00;;;;;;;2,50
78190;2008;4022;16,50;;;;;;;;3,00;6,00;;5,00;;;;;;;;;2,50
95769;2008;4023;16,50;;;;;;;;3,00;6,00;;;;;;;5,00;;;;2,50
210179;2007;4024;16,50;;;;;;;;3,00;;;;;8,00;;;;3,00;;;2,50
68117;2008;4025;16,50;;;;;;;;3,00;6,00;;5,00;;;;;;;;;2,50
77268;2008;4026;16,50;;;;;;;;3,00;6,00;;;;;;;5,00;;;;2,50
80119;2008;4027;16,50;;;;;;;;3,00;6,00;;5,00;;;;;;;;;2,50
205711;2007;4028;16,50;;;;;;;;3,00;6,00;;;;3,00;;;;2,00;;;2,50
296692;2007;4029;16,50;;;;;;;;3,00;8,00;;;;3,00;;;;;;;2,50
220658;2007;4030;16,50;;;;;;;;3,00;8,00;;;;3,00;;;;;;;2,50
95965;2008;4031;16,50;;;;;;;;3,00;;;;11,00;;;;;;;;2,50
286230;2007;4032;16,50;;;;;;;;3,00;8,00;;;;3,00;;;;;;;2,50
78469;2008;4033;16,50;;;;;;;;3,00;;3,00;;;3,00;;;5,00;;;;2,50
77330;2008;4034;16,50;;;;;;;;3,00;8,00;;;;3,00;;;;;;;2,50
221270;2007;4035;16,50;;;;;;;;3,00;6,00;;;;3,00;;;;2,00;;;2,50
280994;2007;4036;16,50;;;;;;;;3,00;8,00;;;;3,00;;;;;;;2,50
27128;2008;4037;16,50;;;;;;;;3,00;8,00;;;;3,00;;;;;;;2,50
95762;2008;4038;16,50;;;;;;;;3,00;8,00;;;;3,00;;;;;;;2,50
182842;2007;4039;16,50;;;;;;;;3,00;8,00;;;;3,00;;;;;;;2,50
282975;2007;4040;16,50;;;;;;;;3,00;3,00;;;;8,00;;;;;;;2,50
174239;2007;4041;16,50;;;;;;;;3,00;6,00;;;;3,00;;;;2,00;;;2,50
220231;2007;4042;16,50;;;;;;;;;6,00;;;;8,00;;;;;;;2,50
81647;2008;4043;16,50;;;;;;;;;6,00;;;;3,00;;;5,00;;;;2,50
128344;2007;4044;16,50;;;;;;;;;6,00;;;;8,00;;;;;;;2,50
77701;2008;4045;16,50;;;;;;;;;6,00;;;;8,00;;;;;;;2,50
9829;2008;4046;16,50;;;;;;;;6,00;;;;;3,00;;;5,00;;;;2,50
94653;2008;4047;16,50;;;;;;;;6,00;8,00;;;;;;;;;;;2,50
266997;2007;4048;16,50;;;;;;;;6,00;8,00;;;;;;;;;;;2,50
108882;2007;4049;16,50;;;;;;;;3,00;8,00;;;;3,00;;;;;;;2,50
2801;2008;4050;16,50;;;;;;;;3,00;8,00;;;;3,00;;;;;;;2,50
78707;2008;4051;16,50;8,00;3,00;;;;;;;;;;;3,00;;;;;;;2,50
83931;2009;4052;16,50;;;;;;;;6,00;;;;9,00;;;;;;;;1,50
126128;2009;4053;16,50;;;;;;;;6,00;;;;9,00;;;;;;;;1,50
95800;2008;4054;16,50;;;;;;;;6,00;8,00;;;;;;;;;;;2,50
282667;2007;4055;16,50;;;;;;;;6,00;8,00;;;;;;;;;;;2,50
184036;2009;4056;16,50;;;;;;;;6,00;;;;9,00;;;;;;;;1,50
221612;2007;4057;16,50;;;;;;;;6,00;8,00;;;;;;;;;;;2,50
38861;2009;4058;16,50;;;;;;;;6,00;;;6,00;;;;;;3,00;;;1,50
190026;2007;4059;16,50;;;;;;;;6,00;8,00;;;;;;;;;;;2,50
125426;2009;4060;16,50;;;;;;;;6,00;3,00;;;;;6,00;;;;;;1,50
176995;2009;4061;16,50;;;;;;;;6,00;6,00;;;;3,00;;;;;;;1,50
179860;2009;4062;16,50;;;;;;;;3,00;6,00;;;;;6,00;;;;;;1,50
100968;2009;4063;16,50;;;;;;;;3,00;6,00;;4,00;;;;;;2,00;;;1,50
169599;2009;4064;16,50;;;;;;;;3,00;8,00;;4,00;;;;;;;;;1,50
176408;2009;4065;16,50;;;;;;;;3,00;3,00;;;9,00;;;;;;;;1,50
78403;2009;4066;16,50;;;;;;;;3,00;3,00;;;9,00;;;;;;;;1,50
122961;2009;4067;16,50;;;;;;;;3,00;6,00;;;;6,00;;;;;;;1,50
131862;2009;4068;16,50;;;;;;;;3,00;;;;;;;5,00;7,00;;;;1,50
81018;2009;4069;16,50;;;;;;;;3,00;3,00;2,00;;7,00;;;;;;;;1,50
81650;2009;4070;16,50;;;;;;;;3,00;3,00;;;;;;9,00;;;;;1,50
183453;2009;4071;16,50;;;;;;;;3,00;;;;;3,00;;;7,00;2,00;;;1,50
168996;2009;4072;16,50;;3,00;;;;;;;3,00;;;9,00;;;;;;;;1,50
78342;2008;4073;16,50;;;;;;;;6,00;8,00;;;;;;;;;;;2,50
19269;2008;4074;16,50;;;;;;;;6,00;8,00;;;;;;;;;;;2,50
220612;2007;4075;16,50;;;;;;;;6,00;8,00;;;;;;;;;;;2,50
8569;2008;4076;16,50;;;;;;;;6,00;8,00;;;;;;;;;;;2,50
249800;2007;4077;16,50;;;;;;;;6,00;8,00;;;;;;;;;;;2,50
23957;2008;4078;16,50;;;;;;;;3,00;6,00;;5,00;;;;;;;;;2,50
182872;2009;4079;16,50;;3,00;;;;;;3,00;;;;9,00;;;;;;;;1,50
87004;2009;4080;16,50;;;;;;;;3,00;8,00;;4,00;;;;;;;;;1,50
86763;2009;4081;16,50;;;;;;;;3,00;;;;9,00;;;;;3,00;;;1,50
185387;2009;4082;16,50;;;;;;;;3,00;8,00;;4,00;;;;;;;;;1,50
287234;2007;4083;16,50;;;;;;;;3,00;6,00;;;;3,00;;;;2,00;;;2,50
77562;2008;4084;16,50;8,00;3,00;;;;;;;;;;;3,00;;;;;;;2,50
248017;2010;4085;16,50;;;;;;;;6,00;8,00;2,00;;;;;;;;;;0,50
267294;2010;4086;16,50;;;;;;;;6,00;;;;7,00;;;;;3,00;;;0,50
247998;2010;4087;16,50;;;;;;;;6,00;;;;10,00;;;;;;;;0,50
132106;2010;4088;16,50;;;;;;;;6,00;;;;7,00;;;;;3,00;;;0,50
277557;2010;4089;16,50;;;;;;;;6,00;;;;;3,00;;;7,00;;;;0,50
264844;2010;4090;16,50;;;;;;;;6,00;8,00;;;;;;;;2,00;;;0,50
260951;2010;4091;16,50;;;;;;;;6,00;;;;7,00;;;;;3,00;;;0,50
272967;2010;4092;16,50;;;;;;;;6,00;;;;;10,00;;;;;;;0,50
147802;2010;4093;16,50;;;;;;;;6,00;8,00;;;;;;;;2,00;;;0,50
268229;2010;4094;16,50;;;;;;;;6,00;;;;;3,00;;;7,00;;;;0,50
23517;2008;4095;16,50;;;;;;;;6,00;8,00;;;;;;;;;;;2,50
221670;2010;4096;16,50;;;;;;;;6,00;8,00;;;;;;;;2,00;;;0,50
239451;2010;4097;16,50;;;;;;;;6,00;;;;7,00;;;;;3,00;;;0,50
217421;2010;4098;16,50;;;;;;;;6,00;8,00;;;;;;;;2,00;;;0,50
269650;2010;4099;16,50;;;;;;;;6,00;;;;10,00;;;;;;;;0,50
262228;2010;4100;16,50;;;;;;;;6,00;;;5,00;;;;;5,00;;;;0,50
278186;2010;4101;16,50;;;;;;;;6,00;8,00;;;;;;;;2,00;;;0,50
261078;2010;4102;16,50;;;;;;;;6,00;;;;;10,00;;;;;;;0,50
265983;2007;4103;16,50;;;;;;;;6,00;8,00;;;;;;;;;;;2,50
155753;2010;4104;16,50;;;;;;;;6,00;;;;7,00;;;;;3,00;;;0,50
273846;2010;4105;16,50;;;;;;;;6,00;;;;10,00;;;;;;;;0,50
