PG;ANNO PG;POSIZIONE;PUNTEGGIO;DISAGIO_ABITATIVO_P;PROGETTO_P;ALLOGGIO_IMPROPRIO_P;INIDONEITA_IMMOBILE_P;ANTIGIENICITA_P;SFRATTO_P;SISTEMAZIONE_PRECARIA_P;BASSO_ISEE_P;INCIDENZA_P;DISTANZA_P;GIOVANE_COPPIA_P;ADULTO_CON_FIGLIO_P;NUCLEO_MONOFAMILIARE_P;NUCLEO_PLURICOMPONENTE_P;CONDIZIONE_ANZIANA_P;CONDIZIONI_CERTIFICATE_P;CONDIZIONE_COABITAZIONE_P;AIRE_P;PROFUGHI_ITALIANI_P;ANZIANITA_DOMANDA_P
278716;2010;4106;16,50;;;;;;;;6,00;;;;7,00;;;;;3,00;;;0,50
150304;2010;4107;16,50;;;;;;;;6,00;;;;7,00;;;;;3,00;;;0,50
93976;2008;4108;16,50;;;;;;;;6,00;;;;;;;;5,00;3,00;;;2,50
250151;2010;4109;16,50;;;;;;;;6,00;;;;7,00;;;;;3,00;;;0,50
249004;2010;4110;16,50;;;;;;;;6,00;;;;10,00;;;;;;;;0,50
272575;2010;4111;16,50;;;;;;;;6,00;;;;7,00;;;;;3,00;;;0,50
240272;2010;4112;16,50;;;;;;;;3,00;8,00;;;;3,00;;;;2,00;;;0,50
177489;2010;4113;16,50;;;;;;;;3,00;8,00;;5,00;;;;;;;;;0,50
271981;2010;4114;16,50;;;;;;;;3,00;8,00;;5,00;;;;;;;;;0,50
116097;2009;4115;16,50;;;;;;;;3,00;6,00;;6,00;;;;;;;;;1,50
94094;2008;4116;16,50;;;;;;;;3,00;6,00;;5,00;;;;;;;;;2,50
212121;2010;4117;16,50;;;;;;;;3,00;6,00;;;7,00;;;;;;;;0,50
19169;2008;4118;16,50;;;;;;;;3,00;3,00;;6,00;;;;;;2,00;;;2,50
279310;2010;4119;16,50;;;;;;;;3,00;6,00;;;7,00;;;;;;;;0,50
271848;2010;4120;16,50;;;;;;;;3,00;6,00;;;7,00;;;;;;;;0,50
78253;2008;4121;16,50;;;;;;;;3,00;6,00;;5,00;;;;;;;;;2,50
260949;2010;4122;16,50;;;;;;;;3,00;6,00;;5,00;;;;;;2,00;;;0,50
248027;2010;4123;16,50;;;;;;;;3,00;8,00;2,00;;;3,00;;;;;;;0,50
276402;2010;4124;16,50;;;;;;;;3,00;8,00;;;;3,00;;;;2,00;;;0,50
171298;2010;4125;16,50;;;;;;;;3,00;6,00;;;7,00;;;;;;;;0,50
184285;2009;4126;16,50;;;;;;;;3,00;3,00;;;9,00;;;;;;;;1,50
264362;2010;4127;16,50;;;;;;;;3,00;6,00;;;;;;;7,00;;;;0,50
130935;2009;4128;16,50;;;;;;;;3,00;8,00;;4,00;;;;;;;;;1,50
211025;2010;4129;16,50;;;;;;;;3,00;6,00;;;7,00;;;;;;;;0,50
230130;2010;4130;16,50;;;;;;;;3,00;8,00;;;;3,00;;;;2,00;;;0,50
271842;2010;4131;16,50;;;;;;;;3,00;8,00;;;;3,00;;;;2,00;;;0,50
