Sezioni 2001;1. Comune di Bologna;2. Comuni della provincia Bologna;3. Altre province Emilia-Romagna;4. Italia nord occidentale;5. Italia nord orientale;6. Italia centrale;7. Italia meridionale e insulare;8. Stati esteri;Totale
0159;;;;;;;;6;6
0160;3;4;1;;;;;1;9
0161;21;1;3;3;1;2;;;31
0162;2;;;;1;;;;3
0163;7;1;1;;;;;2;11
0164;11;5;2;1;;;2;1;22
0165;10;2;1;;;;2;2;17
0168;79;27;29;5;1;2;28;27;198
0169;153;53;29;9;6;7;34;17;308
0170;1;4;3;;;;;1;9
0171;183;47;40;9;8;18;69;22;396
0172;12;2;1;1;;;;;16
0173;101;38;31;4;6;3;33;21;237
0174;162;38;27;4;8;8;74;47;368
0175;1;1;1;;;;;;3
0176;102;59;36;2;8;7;16;15;245
0177;84;43;17;3;4;6;11;29;197
0178;16;15;3;;1;;8;7;50
0180;68;14;11;4;2;2;8;5;114
0182;138;42;38;3;6;9;48;32;316
0183;33;10;9;1;2;1;8;4;68
0184;;2;;;;;;;2
0185;5;3;1;;;;1;;10
0186;25;6;1;1;;2;5;2;42
0187;2;1;;;;;;;3
0188;4;;;;;;;1;5
0189;2;1;;;;;1;;4
0190;;1;;;;;;;1
0191;12;;;;;;1;1;14
0192;3;1;;;;;1;;5
0193;2;;;;2;;;1;5
0194;4;;2;2;;1;;2;11
0195;2;1;;;;;;;3
0196;33;21;10;2;4;;10;10;90
0197;21;7;1;;;;3;2;34
0198;13;10;6;3;1;;;5;38
0199;17;2;2;4;;1;4;1;31
0201;14;15;9;2;1;2;4;;47
0202;6;;;;;;1;;7
0203;17;4;4;;;;9;4;38
0204;;1;;;;;;;1
0205;70;22;14;1;4;6;12;12;141
0206;38;16;12;5;3;2;14;8;98
0211;69;40;12;1;7;5;32;29;195
0212;52;30;17;3;2;4;17;25;150
0213;25;10;5;2;;2;9;10;63
0214;34;16;7;2;3;1;13;20;96
0215;16;8;5;;1;2;3;12;47
0216;39;24;13;2;5;6;14;24;127
0218;1;;2;;;;1;;4
0219;17;23;17;2;4;5;9;1;78
0220;2;1;;;;;;2;5
0221;12;1;1;;;1;1;2;18
0222;;;;;;1;;;1
0225;5;;;;;;4;;9
0226;4;;2;;1;;2;3;12
0228;9;5;4;3;1;2;1;1;26
0229;74;39;19;6;9;5;21;31;204
0230;123;33;25;4;9;7;37;34;272
0231;28;4;3;4;2;;14;2;57
0232;25;13;9;2;;1;2;1;53
0233;43;25;11;2;2;2;7;16;108
0234;52;17;8;3;1;2;9;28;120
0235;22;6;5;2;;3;8;6;52
0236;23;6;8;;1;1;4;1;44
0237;22;13;7;4;4;1;9;8;68
0238;34;22;6;1;5;3;14;24;109
0239;41;16;17;1;7;3;27;25;137
0240;18;9;8;;3;4;15;11;68
0241;43;24;14;;3;4;23;36;147
0242;49;26;15;4;4;8;23;67;196
0243;45;12;14;5;6;7;16;42;147
0244;10;2;3;;;1;2;5;23
0245;1;;;;;;;1;2
0246;15;;1;1;4;;5;7;33
0247;71;29;14;2;6;4;30;21;177
0248;53;21;12;7;2;2;15;12;124
0249;47;31;15;10;7;7;48;16;181
0250;32;1;6;1;;1;8;15;64
0251;73;29;12;3;1;6;45;58;227
0252;30;14;10;;3;5;8;4;74
0254;93;31;12;2;6;4;27;45;220
0255;65;19;13;4;5;4;26;24;160
0256;82;22;20;3;9;8;37;56;237
0257;82;32;12;4;4;2;28;45;209
0258;73;30;25;3;5;5;27;23;191
0259;17;4;5;1;;;4;5;36
0260;40;20;12;3;;2;14;24;115
0261;68;33;18;7;6;12;35;24;203
0262;71;25;22;7;5;10;40;41;221
0263;76;26;23;9;3;13;25;47;222
0264;41;18;11;;2;1;12;25;110
0265;70;24;5;3;1;8;21;34;166
0266;57;12;11;2;5;2;19;25;133
0267;26;11;4;2;2;;17;4;66
0268;57;24;14;4;5;4;22;25;155
0269;74;27;16;4;4;10;33;80;248
0270;98;22;22;3;10;8;38;71;272
0271;28;5;14;;3;2;14;10;76
0272;36;13;4;;1;2;14;35;105
0273;37;9;10;;3;;29;29;117
0274;29;6;2;4;2;2;11;20;76
0275;30;6;6;5;;2;7;7;63
0276;50;8;11;4;4;3;15;10;105
0277;82;13;18;4;6;7;35;81;246
0278;10;1;3;1;1;;10;11;37
0279;29;12;7;6;4;3;18;22;101
0280;25;5;7;;1;1;7;17;63
0281;82;26;13;6;7;13;27;34;208
0282;102;25;22;6;4;7;33;53;252
0283;113;36;26;4;6;6;42;56;289
0284;34;16;10;1;2;3;21;16;103
0285;36;13;12;2;2;4;21;23;113
0286;11;3;3;1;;1;2;3;24
0287;75;17;10;6;4;5;31;38;186
0288;101;22;13;1;1;3;25;12;178
0289;20;10;10;2;1;2;20;16;81
0290;84;32;20;3;6;12;33;47;237
0291;26;6;8;1;1;3;16;10;71
0292;;3;1;;;;3;;7
0293;27;12;5;1;2;6;18;10;81
0294;13;2;;3;1;2;5;5;31
0296;54;22;20;11;7;8;43;29;194
0298;5;5;2;;;1;8;2;23
0300;25;19;8;1;5;2;14;26;100
0301;61;26;16;2;5;3;21;24;158
0302;5;;;1;;1;2;12;21
0303;59;29;18;4;4;10;35;63;222
0304;18;7;9;;1;;15;31;81
0305;22;10;5;1;2;1;9;9;59
0306;64;31;19;4;4;5;32;56;215
0307;65;28;16;5;3;3;36;39;195
0308;85;36;14;2;3;8;41;49;238
0309;48;21;15;3;5;7;36;48;183
0310;2;;1;;;;;;3
0311;69;34;11;5;3;2;18;59;201
0312;46;20;15;2;4;1;11;24;123
0313;69;26;10;2;4;4;14;22;151
0314;5;5;1;1;1;;;2;15
0315;48;20;11;3;3;4;17;15;121
0316;81;36;23;1;6;6;20;39;212
0317;60;19;25;4;9;9;29;20;175
0318;62;18;17;4;4;5;24;38;172
0319;28;16;7;3;2;4;27;38;125
0322;62;11;11;4;6;5;24;34;157
