;;;;;
Popolazione residente per sezione e stato civile - Femmine;;;;;(a)
al  31 Dicembre 2010;;;;;
Sezioni 2001;1. Celibi/nubili;2. Coniugati/e;3. Vedovi/e;4. Divorziati/e;Totale
2184;11;12;3;;26
2185;8;2;4;1;15
2186;16;17;1;;34
2187;10;5;1;1;17
2188;3;8;1;;12
2189;12;18;5;2;37
2190;1;2;1;;4
2191;1;3;2;;6
2192;26;37;9;3;75
2193;13;20;3;;36
2194;23;27;17;6;73
2195;23;27;9;3;62
2196;6;10;1;1;18
2197;41;57;7;;105
2198;5;7;4;1;17
2199;26;35;11;2;74
2200;14;18;5;2;39
2201;17;17;7;2;43
2202;9;14;3;1;27
2203;38;45;27;2;112
2204;5;11;2;;18
2205;115;89;26;12;242
2206;44;41;10;3;98
2207;90;95;20;9;214
2208;46;28;15;2;91
2209;54;63;25;4;146
2210;52;73;30;8;163
2211;49;58;19;8;134
2212;46;45;11;7;109
2213;34;28;11;4;77
2214;8;17;8;1;34
2215;2;7;3;1;13
2216;90;158;54;4;306
2217;;;;;
2218;40;26;10;4;80
2219;52;54;30;8;144
2220;28;31;16;5;80
2221;38;87;19;4;148
2222;66;94;50;10;220
2223;34;43;21;4;102
2224;47;52;20;4;123
2225;;1;;;1
2226;;;;;
2227;;;;;
2228;35;45;27;3;110
2229;40;41;14;7;102
2230;27;31;18;2;78
2231;;;;;
2232;55;57;11;4;127
2233;10;6;6;2;24
2234;23;32;6;1;62
2235;41;40;11;4;96
2236;23;24;6;2;55
2237;14;10;6;2;32
2238;29;29;17;2;77
2239;28;30;13;;71
2240;2;5;;1;8
2241;;;;;
2242;6;28;3;;37
2243;52;32;21;11;116
2244;6;11;8;;25
2245;21;27;12;6;66
2246;42;53;13;2;110
2247;14;17;2;1;34
2248;3;3;;1;7
2249;12;16;4;1;33
2250;12;9;3;1;25
2251;7;8;5;1;21
2252;54;72;21;10;157
2253;64;90;22;9;185
2254;76;105;18;6;205
2255;;;;;
2256;37;47;12;5;101
2257;113;122;37;10;282
2258;21;25;6;2;54
2259;34;63;14;1;112
2260;;;;;
2261;31;36;6;3;76
2262;59;79;19;5;162
2263;96;143;40;12;291
2264;51;91;37;6;185
2265;28;57;15;7;107
2266;68;68;30;10;176
2267;21;27;20;2;70
2268;26;27;12;3;68
2269;31;40;16;4;91
2270;9;5;6;1;21
2271;42;49;6;4;101
2272;48;94;19;4;165
2273;20;21;19;4;64
2274;15;10;14;3;42
2275;47;51;44;8;150
2276;53;34;33;9;129
2277;44;32;16;5;97
2278;;;;;
2279;;;;;
2280;83;67;44;14;208
2281;;;;;
2282;36;33;17;8;94
2283;9;7;7;1;24
2284;24;28;23;2;77
2285;28;31;16;7;82
2286;62;157;21;10;250
2287;9;14;3;;26
2288;1;;1;;2
2289;14;15;;;29
2290;6;5;3;;14
2291;7;10;1;;18
2292;78;72;26;8;184
2293;10;8;3;3;24
2294;3;3;3;;9
2295;39;28;13;11;91
2296;11;16;7;4;38
2297;7;14;4;3;28
2298;11;18;13;;42
2299;35;68;11;5;119
2300;23;32;7;;62
2301;4;7;3;1;15
2302;6;8;1;;15
2303;17;13;3;2;35
2304;1;3;5;;9
2305;21;20;6;;47
2306;10;9;5;1;25
2307;21;19;3;1;44
2308;;3;;;3
2309;2;5;;;7
2310;1;6;;;7
2311;13;12;3;2;30
2312;28;37;10;2;77
2313;45;55;12;1;113
2314;18;18;18;1;55
2315;13;24;8;1;46
2316;19;32;11;3;65
2317;3;1;;;4
2318;42;39;14;1;96
2319;17;26;1;2;46
