Sezioni 2001;000-004;005-009;010-014;015-019;020-024;025-029;030-034;035-039;040-044;045-049;050-054;055-059;060-064;065-069;070-074;075-079;080-084;085-089;090-094;095-099;100-104;105-109;110 e oltre;Totale
0028;;;;;;;;1;;;;;;;1;1;;;;;;;;3
0029;;;;;;2;5;1;;1;2;;;;;;;;;;;;;11
0030;;;;;;2;;;1;;1;1;1;1;;;;;1;;;;;8
0031;4;;1;3;;4;10;16;2;3;1;1;1;;1;;;;;;;;;47
0032;;;;;;;;;;;;;;;;;;;;;;;;
0033;;;;;1;1;2;;3;1;3;1;2;2;;1;;2;;;;;;19
0034;1;;;;;;1;1;;1;;1;;;;;;;;;;;;5
0035;;;;;;;;;;;;;;;;;;;;;;;;
0036;;;;;;;;1;;1;1;;;;;;;;;;;;;3
0037;;1;;;;;;2;;;;;;;;;;;;;;;;3
0038;;;;;;;1;;;;;1;1;3;;;1;;1;;;;;8
0039;7;10;5;3;4;5;10;15;21;10;18;7;7;1;1;;1;1;;;;;;126
0040;;;;;;;;;;;;;;;;;;;;;;;;
0041;6;1;;5;3;4;5;6;9;3;4;;;2;;2;;1;;;;;;51
0042;1;2;2;5;4;8;4;7;9;6;5;6;1;6;2;;;;;;;;;68
0043;1;3;2;5;1;1;1;6;7;7;1;4;2;4;2;1;4;;;;;;;52
0044;;;;;;;;;;;;;;;;;;;;;;;;
0045;;;;;;1;1;;;;;3;1;;;;1;;;;;;;7
0046;;;;;;;;;;1;;;;;;;;;;;;;;1
0047;2;;;;1;1;4;2;;;4;2;1;;1;;;;;;;;;18
0048;;;;;;;;;;;;;;;;;;;;;;;;
0049;;;;;;;;;;;;;2;;;;;1;;;;;;3
0050;1;1;1;1;;3;4;3;3;2;4;;3;;2;4;5;;1;;;;;38
0051;;;;;;;;;;;;;;;;;;;;;;;;
0052;1;1;;;1;5;5;2;3;3;2;3;3;;2;1;1;1;;;;;;34
0053;3;2;3;1;4;6;4;3;6;3;1;3;3;3;1;1;;;;;;;;47
0054;3;1;3;;4;4;3;2;4;4;3;1;2;2;2;2;2;;;;;;;42
0055;;;;;;;;;;;;1;;1;;;;1;;;;;;3
0056;;;;;;;;;;;;;;;;;;;;;;;;
0057;;;;;;;;;;;;;;;;;;;;;;;;
0058;2;6;5;2;5;6;5;2;6;8;13;12;7;8;6;8;5;16;2;;2;;;126
0059;3;5;1;1;1;5;4;5;7;3;6;7;8;12;5;2;4;4;1;2;;;;86
0060;22;27;20;12;20;31;42;40;56;52;34;21;38;27;30;34;24;20;7;4;;;;561
0061;;;;;1;;;;;;5;;;;1;;;;;;;;;7
0062;34;30;24;13;12;30;44;72;53;42;31;36;44;30;30;24;22;12;4;2;;;;589
0063;3;4;4;3;2;6;8;9;12;10;9;11;3;3;3;2;5;4;1;1;;;;103
0064;;7;4;5;8;7;6;10;10;9;18;10;9;22;17;9;10;3;2;1;;;;167
0065;7;7;10;4;3;7;19;20;12;15;12;10;4;7;6;8;10;3;2;;;;;166
0066;;;;;;;;;1;;;;;;1;1;;;;1;;;;4
0067;5;4;7;4;4;3;4;10;6;11;4;5;10;6;3;2;3;1;;1;;;;93
0068;;;1;;1;2;;;;;1;;1;;;;;;;;;;;6
0069;21;18;16;26;22;33;32;37;53;35;26;22;40;41;32;31;25;25;6;5;;;;546
0070;16;15;21;13;9;22;23;27;25;16;22;20;14;12;17;17;17;15;3;;;;;324
0071;4;2;5;13;12;10;6;7;7;11;12;9;14;7;7;6;5;4;2;1;;;;144
0072;;;;;;1;;;;;;1;;;1;;;;;;;;;3
