Quartiere;Servizio;Struttura;Tipo struttura;Istituzione scol;Indirizzo;Comune;Provincia
BORGO PANIGALE;SCUOLA PRIMARIA;LIPPARINI;Statale;DIREZIONE DIDATTICA 11° CIRCOLO;VIA BUFALINI n.16;BOLOGNA;BOLOGNA
BORGO PANIGALE;SCUOLA PRIMARIA;MARIA GARAGNANI;Privata paritaria;ASSOCIAZIONE STEINERIANA MARIA GARAGNANI;VIA MORAZZO n.4/4;BOLOGNA;BOLOGNA
BORGO PANIGALE;SCUOLA PRIMARIA;MAZZINI PRIMARIA;Statale;ISTITUTO COMPRENSIVO N. 14;VIA BIANCOLELLI n.38;BOLOGNA;BOLOGNA
BORGO PANIGALE;SCUOLA PRIMARIA;SACRO CUORE;Privata paritaria;SACRO CUORE;VIA BOMBELLI n.56;BOLOGNA;BOLOGNA
BORGO PANIGALE;SCUOLA SECONDARIA DI PRIMO GRADO;VOLTA;Statale;ISTITUTO COMPRENSIVO N. 14;VIA BIANCOLELLI n.38;BOLOGNA;BOLOGNA
BORGO PANIGALE;SCUOLA SECONDARIA DI PRIMO GRADO;VOLTA - SUCCURSALE;Statale;ISTITUTO COMPRENSIVO N. 14;VIA GALEAZZA n.59;BOLOGNA;BOLOGNA
BORGO PANIGALE;SEZIONE PRIMAVERA;SAN GIUSEPPE;Convenzionata;SAN GIUSEPPE;VIA CLELIA BARBIERI n.2;BOLOGNA;BOLOGNA
NAVILE;NIDO D'INFANZIA;ADA ZUCCHELLI;Comunale;;VIA DELLA CA' BIANCA n.13/2;BOLOGNA;BOLOGNA
NAVILE;NIDO D'INFANZIA;BIGARI;Comunale;;VIA BIGARI n.1/2;BOLOGNA;BOLOGNA
NAVILE;NIDO D'INFANZIA;ELEFANTINO BLU - (GESTITO COOP KARABAK);Comunale in concessione;;VIA DELLA BEVERARA n.58/11;BOLOGNA;BOLOGNA
NAVILE;NIDO D'INFANZIA;FRESU;Comunale;;VIA LIPPARINI n.7;BOLOGNA;BOLOGNA
NAVILE;NIDO D'INFANZIA;G.P. PATINI;Comunale;;VIA CIGNANI n.31;BOLOGNA;BOLOGNA
NAVILE;NIDO D'INFANZIA;GROSSO;Comunale;;VIA ERBOSA n.22;BOLOGNA;BOLOGNA
NAVILE;NIDO D'INFANZIA;HIGEYA;Privata convenzionata;;via Paolo Frisi n.5/A;BOLOGNA;BOLOGNA
NAVILE;NIDO D'INFANZIA;I PASSEROTTI;Privata convenzionata;;VIA DELLE BORRE n.7/3;BOLOGNA;BOLOGNA
