CODVIA;DENOMINAZIONE
10090;LARGO BRESCIA
10100;VIA LUIGI BREVENTANI
10130;VIA BRIGATA BOLERO
10140;ROTONDA BRIGATA PARACADUTISTI FOLGORE
10150;VIA BRIGATE PARTIGIANE
10200;VIA GIUSEPPE BRINI
10250;VIA EDOARDO BRIZIO
10300;VIA FRANCESCO BRIZZI
10350;VIA BROCCAINDOSSO
10380;VIA GIACOMO BRODOLINI
10400;VICOLO BROGLIO
10450;VIA GIOVANNI BRUGNOLI
10480;PIAZZALE PIETRO BRUNE'
10500;VIA UMBERTO BRUNELLI
10520;VIA GIORDANO BRUNO
10530;VIALE MASSIMILIANO BRUNO
10550;VIA BRUSCHETTI
10570;ROTONDA PIETRO BUBANI
10600;VIA MAURIZIO BUFALINI
10650;VIA MICHELANGIOLO BUONARROTI
10670;VIA BUON PASTORE
10690;ROTONDA GIULIO  PASTORE
10700;VIA BRUNO BUOZZI
10730;VIA PIETRO BURGATTI
10750;VIA PIETRO BUSACCHI
10800;VIA ARISTIDE BUSI
10850;VIA LUIGI BUSI
10900;VIA DE' BUTTIERI
10930;VIA RAMBERTINO BUVALELLI
10940;VIA BYRON
10950;VIA DELLA CA' BIANCA
11000;VIA SEBASTIANO CABOTO
11050;VIA CADRIANO
11080;VIA CADUTI DELLA VIA FANI
11100;LARGO CADUTI DEL LAVORO
11120;VIA CADUTI DI AMOLA
11130;VIA CADUTI DI CASTELDEBOLE
11150;VIA CADUTI DI CEFALONIA
11180;ROTONDA CADUTI DI NASSIRYA
11200;PIAZZA CADUTI DI S.RUFFILLO
11210;ROTONDA CADUTI ITALIANI IN MISSIONE DI PACE
11220;VIA CADUTI E DISP. IN GUERRA
11230;VIA CAGLIARI
11250;VIA CAIROLI
11300;VIA CALABRIA
11350;VIA CALAMOSCO
11400;VIA CALANCO
11440;ROTONDA GINO CALARI
11450;VIA MONALDO CALARI
11500;VIA CALATAFIMI
11550;VIA CALCAVINAZZI
11570;ROTONDA MADRE TERESA DI CALCUTTA
11600;VIA ALBERTO CALDA
11650;VIA CALDARESE
11700;PIAZZA CALDERINI
11730;VIA DEI CALIGARI
11750;VIA SERAFINO CALINDRI
11800;VIA LUIGI CALORI
11850;VIA DIONISIO CALVART
11900;VIA PIER FORTUNATO CALVI
11950;VIA ALFREDO CALZOLARI
12000;VIA CALZOLERIE
12050;VIA ALFREDO CALZONI
12100;VIA CROCE DI CAMALDOLI
12150;VIA CAMONIA
12200;VIA DELLA CAMPAGNA
12220;VIA SIGISMONDO CAMPAGNOLI
12230;VIA TOMMASO CAMPANELLA
12240;VIA DINO CAMPANA
12250;VIA DEL CAMPEGGIO
12300;VIA ANTONIO CANALETTO
12320;VIA PAOLO CANALI
12330;ROTONDA DANTE CANE'
12340;VIA DELLA CANAPA
12350;VIA DEL CANE
12400;VIA CANONICA
12420;VIA PIETRO CANONICI
12450;VIA ANTONIO CANOVA
12500;VIA PIETRO CANTINELLI
12550;VIA DOMENICO MARIA CANUTI
12600;VIA ENRICO CAPELLI
12650;VIA GIOVANNI CAPELLINI
12680;PIAZZA ALDO CAPITINI
12700;VIA CAPO DI LUCCA
12720;VIA LICINIO CAPPELLI
12750;VIA CAPRAMOZZA
12800;VIA CAPRARIE
