CODVIA;DENOMINAZIONE
53270;VIA SAVIGNO
53300;VIA S.SAVINO
53350;VIA LODOVICO SAVIOLI
53400;VIA SAVONA
53430;VIA GEROLAMO SAVONAROLA
53440;VIALE OSCAR SCAGLIETTI
53450;VIA DEGLI SCALINI
53500;VIA DELLO SCALO
53550;VIA SCANDELLARA
53600;PIAZZA ANTONINO SCARAVILLI
53650;VIA DOMENICO SCARLATTI
53700;VIA FILIPPO SCHIASSI
53730;ROTONDA ANGELO SCHIAVIO
53750;VIA SCHIAVONIA
53800;VIA AMATORE SCIESA
53850;VIA SCIPIONE DAL FERRO
53900;VIA ALESSANDRO SCORZONI
53950;VIA NINO BIXIO SCOTA
54000;VIA DELLE SCUOLE
54050;VIA S.SEBASTIANO
54100;VIA DELLA SECCHIA
54110;VIA TORQUATO SECCI
54150;VIA GIOVANNI SEGANTINI
54180;VIA DEL SELCIATORE
54200;VIA FRANCESCO SELMI
54250;VIA DELLA SELVA PESCAROLA
54300;VIA SENZANOME
54320;VIA SERAGNOLI
54330;VIA FRANCESCO SERATO
54350;VIA SERENA
54400;VIA SEBASTIANO SERLIO
54430;PIAZZETTA DEI SERVI DI MARIA
54450;VIA LUIGI SERRA
54460;VIA DELLE SERRE
54470;VIA DEI SETTE LEONCINI
54480;VIA SESTO SAN GIOVANNI
54500;VIA LUIGI SETTEMBRINI
54550;PIAZZA VII NOVEMBRE 1944
54580;VIA WILLIAM SHAKESPEARE
54600;VIA SICILIA
54650;VIA SIEPELUNGA
54680;VIA LINO SIGHINOLFI
54700;VIA S.SIGISMONDO
54750;VIA LUCA SIGNORELLI
54800;VIA TELEMACO SIGNORINI
54830;VIA IGNAZIO SILONE
54850;VIA CARLO SIGONIO
54900;VIA LUIGI SILVAGNI
54950;VIALE ANTONIO SILVANI
54980;VIA SIMONE DEI CROCEFISSI
55000;VIA S.SIMONE
55050;VIA RENATO SIMONI
55100;VIA ELISABETTA SIRANI
55150;VIA SMERALDO
55160;VIA DELLO SMISTAMENTO
55180;VIA ARTURO SOLARI
55200;VIA DEL SOLE
55250;VIA SOLFERINO
55300;VIA ALBANO SORBELLI
55350;VIA DEL SOSTEGNAZZO
55400;VIA DEL SOSTEGNO
55450;VIA GASTONE SOZZI
55500;VIA LIONELLO SPADA
55550;VIA ARMANDO SPADINI
55570;PIAZZA GIOVANNI SPADOLINI
55600;VIA DELLO SPALTO
55630;VIA SPARTACO
55650;VIA GIOVANNI SPATARO
55700;VIA SPERANZA
55750;VIA TITO SPERI
55770;VIA SPINA
55800;VIA DELLO SPIRAGLIO
55850;VICOLO SPIRITO SANTO
55900;VIA DELLO SPORT
55950;VIA STALINGRADO
56000;VIA DELLO STALLO
56050;VIA STAZIONE ROVERI
56070;VIA ENEA STEFANI
56100;VIA S.STEFANO
56150;PIAZZA DI PORTA S.STEFANO
56180;VIA STENDHAL
56200;VIA DELLO STERLINO
56250;VIA ANTONIO STOPPANI
56300;VIA ALESSANDRO STOPPATO
56330;VIA RICCARDO STRACCIARI
56350;VICOLO STRADELLACCIO
56370;VIA DEGLI STRADELLI GUELFI
56400;VIA STRAZZACAPPE
56450;VIA DON LUIGI STURZO
56470;VIA SURROGAZIONE RENO
56480;VIA ITALO SVEVO
56490;VIA DOMENICO SVAMPA
56500;VIA GAETANO TACCONI
56520;VIA FRANCESCO TADOLINI
56550;VIA GASPARE TAGLIACOZZI
56600;VIA TAGLIAMENTO
56650;VIA TAGLIAPIETRE
56680;ROTONDA FABIO TAGLIONI
56700;VIA FRANCESCO TAMAGNO
56750;VIA CLOTILDE TAMBRONI
56800;VIA LUIGI TANARI
56850;VIA TANARI VECCHIA
56880;VIA DEL TAPPEZZIERE
56890;VIA ALESSANDRO TARTAGNI
56900;VIA GIUSEPPE TARTINI
56950;VIA CESARE TARUFFI
57000;VIA TORQUATO TASSO
57050;VIA ALESSANDRO TASSONI
57100;VIA SERGIO TAVERNARI
57110;ROTONDA TAXISTI VITTIME STRAGE 2 AGOSTO 1980
57120;VIA RENATO TEGA
57130;VIA BERNARDINO TELESIO
57150;VIA GIUSEPPE TELLERA
57180;VIA UMBERTO TERRACINI
57190;VIA DEI TERRAIOLI
57200;VIA DEL TERRAPIENO
57250;VIA DEI TERRIBILIA
57280;VIA FILIPPO  TERZI
57300;VIA MAURO TESI
57350;VIA DEI TESSITORI
57400;VIA ALFREDO TESTONI
57450;VIA TEVERE
57500;VIA ALESSANDRO TIARINI
57550;VIA PELLEGRINO TIBALDI
57600;VIA GIANBATTISTA TIEPOLO
57650;VIA DEL TIMAVO
57670;VIA GINO TINOZZI
57700;VIA TINTORETTO
57730;VIA DEL TIPOGRAFO
57750;VIA BENVENUTO TISI
57800;VIA TIZIANO VECELLIO
57850;VIA FRANCESCO TODARO
57900;VIA DELLE TOFANE
57950;VIA VINCENZO TOFFANO
57980;VIALE PALMIRO TOGLIATTI
58000;VIA TOLMINO
58050;VIA LEONE TOLSTOI
58070;VIA CLETO TOMBA
58100;VIA NICOLO' TOMMASEO
58150;VIA GIACOMO TOMMASINI
58160;VIA SAN TOMMASO DEL MERCATO
58170;VIA GIUSEPPE TORELLI
58190;VIA TORINO
58200;VIA TORLEONE
58230;VIA DEL TORNITORE
58250;GALLERIA DEL TORO
58300;VIA DELLA TORRE
58350;VIA ALFONSO TORREGGIANI
58400;VIA DELLA TORRETTA
58420;ROTONDA GIUSEPPE ANTONIO TORRI
58450;VIA TORRIANE
58500;VIA EVANGELISTA TORRICELLI
58550;VIA BRUNO TOSARELLI
58600;VIA TOSCANA
58650;VIA ARTURO TOSCANINI
58700;VIA DE' TOSCHI
58750;VIA LUCA A.TOSI BELLUCCI
58800;VIA LUCIANO TOSO MONTANARI
58850;VIA DELLE TOVAGLIE
58900;VIA DEL TRAGHETTO
58950;VIA DELLA TRAPPOLA
58970;VIA TRATTATI COMUNITARI EUROPEI 1957-2007
58980;VIA ALBERTO TRAUZZI
59000;VIA TRAVERSA
59050;VIA ORESTE TREBBI
59100;VIA DEL TREBBO
59150;PIAZZA TRENTO E TRIESTE
59200;VIA CLAUDIO TREVES
59230;VIA TREVISO
59250;VIA BARTOLOMEO TRIACHINI
59300;PIAZZA DEI TRIBUNALI
59330;VIA TRILUSSA
59350;VIA DEL TRIUMVIRATO
59400;LARGO ALFREDO TROMBETTI
59450;VICOLO TUBERTINI
59470;VIA LUIGI TUKORY
59500;VIA FILIPPO TURATI
59550;VIA TURCHESE
59590;ROTONDA DEL TUSCOLANO
59600;VIA DEL TUSCOLANO
59610;VIA DELL'UCCELLINO
59630;VIA UDINE
59650;VIA UMBRIA
59670;VIA UMBRO LORENZINI
59700;VIA GASPARE UNGARELLI
59750;VIA DELL'UNIONE
59800;PIAZZA DELL'UNITA'
59850;VICOLO URBAGA
59900;VIA URBANA
59950;VIA DEGLI USBERTI
59980;VIA GIUSEPPE VACCARO
60000;VIA VAL D'APOSA
60050;VIA VALDONICA
60100;VIA VALDOSSOLA
60130;VIA SAN VALENTINO
60150;VIA VALERIA
60200;VIA LUIGI VALERIANI
60210;VIA ONDINA VALLA
60230;VIA VALLE D'AOSTA
60240;VIA VALLE DI PREDA
60250;VIA VALLESCURA
60280;VIA VALPARAISO
60300;VIA ANTONIO MARIA VALSALVA
60350;VIA VALVERDE
60400;VIA ORESTE VANCINI
60430;VIA COSTANZO VAROLIO
60450;VIA LODOVICO VARTHEMA
60500;VIA GIORGIO VASARI
60550;VIA VASCELLI
60580;VIA VASCO DE GAMA
60600;VIA VINCENZO VELA
60630;VIA VENEZIA
60650;VIA GIACOMO VENEZIAN
60670;VIA VENTIMIGLIA
60700;PIAZZA XX SETTEMBRE
60750;VIA XX OTTOBRE 1944
60780;LARGO MARIELE VENTRE
60800;VIA XXI APRILE 1945
60850;VIA FEDERICO VENTURINI
60900;VIA ANGELO VENTUROLI
60950;VIA VERDE
61000;PIAZZA GIUSEPPE VERDI
61050;VIA GIOVANNI VERGA
61100;VIA DON GIOVANNI VERITA'
61150;VIA VERMENA
61200;VIA VERMIGLIA
61230;VIA GIULIO VERNE
61250;VIA PAOLO VERONESE
61300;VIA AMERIGO VESPUCCI
61330;VIA DEI VESTIARI
61350;VIA LUIGI VESTRI
61360;VIA DEL VETRAIO
61370;VIA VETULONIA
61400;VIA VEZZA
61450;VIA VIADAGOLA
61480;GALLERIA VIALARGA
61500;VICOLO VIAZZOLO
61530;VIA VICENZA
61550;VIALE GIOVANNI VICINI
61600;VIA GIAMBATTISTA VICO
61610;PIAZZA SERGIO VIEIRA DE MELLO
61650;VIA CORIOLANO VIGHI
61680;VIALE ROBERTO VIGHI
61700;VIA DELLA VILLA
61730;VIA DI 'VILLA PARDO'
61750;VIA VILLANOVA
61760;ROTONDA DI VILLANOVA
61800;VIA PASQUALE VILLARI
61850;VIA VINAZZETTI
61900;VIA SANTE VINCENZI
61950;VIA DELLA VIOLA
61980;VIA VITALE DA BOLOGNA
62000;VIA S.VITALE
62050;MURA DI PORTA S.VITALE
62100;PIAZZA DI PORTA S.VITALE
62150;VIA DELLE VITI
62160;LARGO VITTIME LAGER NAZISTI
62200;VIA S.VITTORE
62220;VIA VITTORIA
62250;VIA VITTORIO VENETO
62270;ROTONDA LUCHINO VISCONTI
62300;VIA DEL VIVAIO
62350;VIA ANTONIO VIVALDI
62400;VIA POMPEO VIZZANI
62450;VIA VOLONTARI DELLA LIBERTA'
62500;PIAZZA ALESSANDRO VOLTA
62530;VIA VITO VOLTERRA
62550;VIA VOLTO SANTO
62600;VIA VOLTURNO
62650;VIA RICCARDO WAGNER
62660;VIA EDOARDO WEBER
62680;VIA WILIGELMO
62690;VIA GIOVANNA ZACCHERINI ALVISI
62700;VIA ERMETE ZACCONI
62710;VIA ZACCARIA ZACCHI
62730;VIALE ZAGABRIA
62750;VIA EMILIO ZAGO
62780;VIA FRANCESCO ZAMBECCARI
62800;VIA LIVIO ZAMBECCARI
62850;VIA ZAMBONI
62900;MURA ANTEO ZAMBONI
62950;VIA FRANCESCO ZAMBRINI
63000;VIA LODOVICO ZAMENHOF
63050;VIA DOMENICO ZAMPIERI
63100;VIA FRANCESCO ZANARDI
63150;VIA ETTORE ZANIBONI
63180;VIA NICOLA ZANICHELLI
63200;VIA ANTONIO ZANNONI
63250;VIA ANTONIO ZANOLINI
63300;VIA GIAMPIETRO ZANOTTI
63350;VIA AGAMENNONE ZAPPOLI
63380;VIA AMLETO ZECCHI
63400;VIA DELLA ZECCA
63410;VIA ANTONIO ZOCCOLI
63420;VIA CESARE ZUCCARDI MERLI
63430;VIA ENZO ZONI
63450;VIA CARLO ZUCCHI
63470;VIA GUIDO ZUCCHINI
63500;VIA ARISTIDE ZUCCONI
90010;AUTOSTRADA A-14 (BO-RN)
90020;AUTOSTRADA A-14 (RN-BO)
90030;RACCORDO A-1 CON A-14
90040;RACCORDO A-14 CON A-1
90050;TANGENZIALE CASALECCHIO-SAN LAZZARO
90060;TANGENZIALE SAN LAZZARO-CASALECCHIO
90070;AUTOSTRADA A-13 (BO-PD)
90080;RACCORDO TANGENZIALE-BORGO PANIGALE
90090;RACCORDO BORGO PANIGALE-TANGENZIALE
90110;RAMPA TANG.USCITA DUE CASAL.-S.LAZZ.
90120;RAMPA TANG.USCITA DUE S.LAZZ.-CASAL.
90170;RAMPA TANG.USCITA CINQUE CASALECCHIO-S.LAZZ.
90180;RAMPA TANG.USCITA CINQUE S.LAZZ.-CASAL.
90190;RAMPA TANG.USCITA OTTO CASAL.-S.LAZZ.
90200;RAMPA TANG.USCITA OTTO S.LAZZ.-CASAL.
90210;RAMPA TANG.USCITA DIECI CASAL.-S.LAZZARO
90220;RAMPA TANG.USCITA DIECI S.LAZZARO-CASAL.
90230;RAMPA TANG.USCITA UNDICI-BIS CASAL.-S.LAZZ
90240;RAMPA TANG.USCITA DODICI CASAL.-S.LAZZARO
90250;RAMPA TANG.USCITA DODICI S.LAZZARO-CASAL.
99999;NOME VIA DA ISTITUIRE
