;;;;;
Popolazione residente per sezione e stato civile - Maschi;;;;;(a)
al  31 Dicembre 2010;;;;;
Sezioni 2001;1. Celibi/nubili;2. Coniugati/e;3. Vedovi/e;4. Divorziati/e;Totale
0363;7;8;;;15
0364;;;;;
0365;1;1;;;2
0366;12;6;1;;19
0367;28;2;;;30
0368;;;;;
0369;5;4;1;;10
0370;24;14;;2;40
0371;17;12;;;29
0372;;;;;
0373;;;;;
0374;;;;;
0375;12;8;;1;21
0376;78;64;2;2;146
0377;21;24;;;45
0378;47;55;4;1;107
0379;20;26;3;1;50
0380;16;17;5;;38
0381;6;10;;;16
0382;72;65;3;4;144
0383;34;69;3;;106
0384;49;70;6;1;126
0385;4;7;1;;12
0386;10;7;;1;18
0387;10;13;;4;27
0388;5;4;;;9
0389;5;2;;1;8
0390;11;16;1;1;29
0391;6;6;;;12
0392;45;30;1;2;78
0393;;;;;
0394;45;30;;3;78
0395;30;42;4;1;77
0396;70;40;2;3;115
0397;66;58;2;3;129
0398;104;136;13;5;258
0399;99;106;4;10;219
0400;81;72;7;5;165
0401;12;21;2;;35
0402;41;59;6;2;108
0403;37;61;4;1;103
0404;123;187;10;3;323
0405;85;132;8;2;227
0406;16;25;3;;44
0407;64;118;14;1;197
0408;;;;;
0409;25;59;5;1;90
0410;40;27;3;2;72
0411;17;34;7;1;59
0412;76;74;5;2;157
0413;85;105;10;4;204
0414;17;17;2;1;37
0415;71;101;8;4;184
0416;29;39;1;4;73
0417;82;107;10;3;202
0418;;;;;
0419;32;15;;1;48
0420;;1;;;1
0421;15;11;;2;28
0422;4;3;;;7
0423;8;11;1;;20
0424;2;2;;1;5
0425;61;33;1;3;98
0426;10;2;;;12
0427;;;;;
0428;34;26;2;2;64
0429;3;5;;;8
0430;65;37;2;7;111
0431;33;31;1;3;68
0432;12;15;1;1;29
0433;1;1;;;2
0434;9;6;;1;16
0435;69;51;6;2;128
0436;;;;;
0437;;;;;
0438;12;5;;;17
0439;92;80;6;5;183
0440;;;;;
0441;5;6;;;11
0442;92;130;5;4;231
0443;1;1;;;2
0444;68;60;6;2;136
0445;4;3;;;7
0446;8;9;;;17
0447;27;40;5;2;74
0448;19;33;1;;53
0449;6;3;;;9
0450;7;4;;;11
0451;3;8;;;11
0452;208;221;5;7;441
0453;;3;;;3
0454;9;4;;1;14
0455;1;1;;;2
0456;4;;;1;5
0457;19;23;1;2;45
0458;17;11;1;;29
0459;;1;;;1
0460;16;10;2;;28
0461;;;;;
0462;1;1;;;2
0463;191;255;13;8;467
0464;40;45;1;4;90
0465;33;35;6;1;75
0466;47;59;3;3;112
0467;58;41;3;2;104
0468;52;74;6;5;137
0469;76;58;2;9;145
0470;5;9;1;;15
0471;10;10;;;20
0472;75;55;2;4;136
0473;19;32;;1;52
0474;78;62;5;3;148
0475;;1;;;1
0476;;;;;
0477;16;15;1;1;33
0478;8;19;1;;28
0479;;;;;
0480;31;24;;;55
0481;111;101;5;6;223
0482;10;16;1;;27
0483;11;14;;2;27
0484;8;13;;;21
0485;123;121;6;7;257
0486;44;76;5;1;126
0487;;;;;
0488;;;;;
0489;2;4;;;6
0490;;1;;;1
0491;3;11;;1;15
0492;;;;;
0493;14;6;;1;21
0494;6;4;;;10
0495;8;8;1;;17
0496;14;13;1;;28
0497;5;1;;2;8
0498;2;;;;2
0499;8;4;;1;13
0500;15;20;2;;37
0501;57;58;7;4;126
0502;12;10;;;22
0503;272;283;8;15;578
0504;7;9;1;;17
0505;;;1;;1
0506;1;2;;;3
0507;;;;;
0508;4;1;;;5
0509;5;8;;;13
0510;;;;;
0511;;;;;
0512;3;2;;;5
0513;;;;;
0514;4;5;;;9
0515;2;2;;;4
0516;1;2;;;3
0517;11;11;;3;25
0518;;1;1;;2
0519;;1;;;1
0520;1;2;;;3
0521;5;2;;;7
0522;3;6;;;9
0523;6;5;;;11
0524;1;4;;;5
0525;5;2;;;7
0526;7;3;;;10
0527;1;;;;1
0528;6;5;;;11
0529;;;;;
0530;8;2;;;10
0531;;;;;
0532;;;;;
0533;;;;;
0534;24;3;;2;29
0535;;;;;
0536;218;150;7;13;388
0537;;;;;
0538;5;5;1;;11
0539;69;92;9;4;174
0540;1;2;;;3
0541;7;3;1;1;12
0542;6;8;;;14
0543;94;92;4;2;192
0544;15;11;1;2;29
0545;107;167;11;3;288
0546;36;21;1;6;64
0547;71;84;10;8;173
0548;10;6;;;16
0549;;;;;
0550;74;61;2;6;143
0551;40;45;3;1;89
0552;110;84;3;3;200
0553;100;123;6;4;233
0554;85;103;2;3;193
0555;2;2;1;;5
0556;1;2;1;;4
0557;;;;;
0558;18;17;;1;36
0559;16;21;1;3;41
0560;2;1;;;3
0561;6;6;;;12
0562;104;96;5;7;212
0563;61;58;2;5;126
0564;7;8;1;1;17
0565;;2;;;2
0566;4;5;;;9
0567;3;3;;;6
0568;;;;;
0569;26;19;3;;48
0570;54;32;3;4;93
0571;107;87;6;7;207
0572;53;102;12;2;169
0573;103;83;5;5;196
0574;77;47;6;5;135
0575;103;181;21;3;308
0576;64;124;6;5;199
0577;62;105;11;6;184
0578;4;1;1;;6
0579;16;8;;2;26
0580;10;7;;;17
0581;2;4;;;6
0582;;;;;
0583;4;1;;;5
0584;6;7;1;;14
0585;22;13;1;1;37
0586;108;29;;3;140
0587;94;14;;2;110
0588;37;24;1;2;64
0589;134;113;12;7;266
0590;3;;;1;4
0591;36;29;1;2;68
0592;119;92;7;4;222
0593;;;;;
0594;67;85;3;2;157
0595;86;146;17;12;261
0596;58;38;3;3;102
0597;11;8;1;;20
0598;118;104;6;3;231
0599;;;;;
0600;3;6;;;9
0601;;;;;
0602;;1;;;1
0603;59;34;3;1;97
0604;62;44;3;3;112
0605;;;;;
0606;;;;;
0607;;;;;
0608;42;47;2;2;93
0609;88;56;5;3;152
0610;83;58;2;2;145
0611;;;;;
0612;;;;;
0613;8;14;1;;23
0614;66;48;7;4;125
0615;52;61;7;5;125
0616;33;26;2;1;62
0617;36;37;2;;75
0618;41;31;1;3;76
0619;68;60;4;3;135
0620;41;25;;1;67
0621;;;;;
0622;;;;;
0623;7;7;1;1;16
0624;;;;;
0625;16;13;2;;31
0626;64;54;2;4;124
0627;89;73;3;9;174
0628;;;;;
0629;30;12;5;3;50
0630;97;52;3;1;153
0631;;;;;
0632;35;29;5;4;73
0633;;;;;
0634;85;59;5;3;152
0635;33;19;2;1;55
0636;30;28;2;1;61
0637;113;97;5;6;221
0638;37;38;2;5;82
0639;4;3;;1;8
0640;;;;;
0641;23;39;2;2;66
0642;23;23;;;46
0643;24;35;4;1;64
0644;37;46;7;1;91
0645;44;36;3;1;84
0646;66;58;5;4;133
0647;44;37;4;3;88
0648;1;;;;1
0649;53;40;3;4;100
0650;75;60;3;5;143
0651;84;67;2;5;158
0652;105;65;4;8;182
0653;4;5;1;1;11
0654;20;23;1;1;45
0655;7;7;;;14
0656;49;64;5;1;119
0657;65;109;14;4;192
0658;;;;;
0659;;;;;
0660;;;;;
0661;105;81;6;;192
0662;95;98;10;2;205
0663;22;30;4;1;57
0664;32;49;3;;84
0665;37;33;1;1;72
0666;44;26;2;1;73
0667;83;49;1;3;136
0668;33;33;3;;69
0669;59;31;1;5;96
0670;56;27;1;4;88
0671;77;45;1;3;126
0672;84;49;1;4;138
0673;39;36;2;2;79
0674;48;53;3;6;110
0675;22;14;2;1;39
0676;28;33;1;3;65
0677;23;17;3;3;46
0678;;;;;
0679;35;14;1;1;51
0680;6;6;;;12
0681;71;73;4;7;155
0682;27;17;2;2;48
0683;38;30;1;3;72
0684;69;66;4;8;147
0685;2;3;;;5
0686;17;14;;;31
0687;8;2;;;10
0688;5;5;;;10
0689;;;;;
0690;11;16;4;1;32
0691;17;18;2;1;38
0692;8;13;;;21
0693;32;20;;1;53
0694;19;9;2;1;31
0695;20;17;;2;39
0696;17;20;1;;38
0697;29;25;1;3;58
0698;9;4;1;;14
0699;4;5;;;9
0700;1;;;;1
0701;72;90;2;3;167
0702;47;28;;4;79
0703;21;16;;;37
0704;28;18;1;;47
0705;74;63;3;4;144
0706;;;;;
0707;74;78;8;2;162
0708;67;29;1;2;99
0709;;;;;
0710;14;17;6;4;41
0711;31;41;5;2;79
0712;36;57;5;3;101
0713;42;26;1;;69
0714;77;99;10;3;189
0715;89;68;6;4;167
0716;16;17;2;;35
0717;87;82;6;4;179
0718;40;33;2;1;76
0719;90;91;6;5;192
0720;31;28;;;59
0721;95;58;7;14;174
0722;49;32;6;9;96
0723;11;;;;11
0724;45;48;2;5;100
0725;44;36;1;;81
0726;60;68;;2;130
0727;76;49;5;3;133
0728;34;34;2;1;71
0729;28;17;3;3;51
0730;47;25;1;2;75
0731;35;26;1;2;64
0732;57;46;1;3;107
0733;62;43;4;2;111
0734;1;2;;;3
0735;72;89;8;4;173
0736;118;147;6;4;275
0737;17;20;2;2;41
0738;86;67;3;2;158
0739;7;5;;1;13
0740;9;17;3;;29
0741;61;38;7;2;108
0742;59;38;9;4;110
0743;46;36;4;2;88
0744;13;18;1;;32
0745;98;92;3;6;199
0746;139;124;9;12;284
0747;67;62;4;3;136
0748;29;33;6;5;73
0749;34;43;3;2;82
0750;74;79;5;5;163
0751;23;17;1;;41
0752;23;53;8;3;87
0753;2;5;;1;8
0754;73;63;1;3;140
0755;31;35;2;4;72
0756;;;;;
0757;;;;;
0758;137;132;7;6;282
0759;52;59;;2;113
0760;84;79;11;6;180
0761;69;35;4;4;112
0762;;;;;
0763;;;;;
0764;113;96;9;4;222
0765;103;69;2;2;176
0766;79;57;5;5;146
0767;47;49;6;1;103
0768;28;40;;;68
0769;;;;;
0770;62;35;2;;99
0771;49;34;1;1;85
0772;33;27;2;3;65
0773;48;35;4;2;89
0774;74;44;3;4;125
0775;64;37;1;5;107
0776;40;41;1;;82
0777;44;32;1;;77
0778;42;47;4;1;94
0779;66;38;6;5;115
0780;101;96;9;7;213
0781;33;16;4;1;54
0782;7;8;1;;16
0783;111;93;5;10;219
0784;11;9;;1;21
0785;3;7;;1;11
0786;117;138;8;10;273
0787;99;114;11;3;227
0788;31;28;4;2;65
0789;83;109;9;6;207
0790;91;134;9;3;237
0791;11;13;1;;25
0792;;;;;
0793;14;14;1;1;30
0794;26;27;4;2;59
0795;18;24;2;;44
0796;41;33;4;2;80
0797;12;11;;4;27
0798;71;100;3;7;181
0799;8;12;;;20
0800;7;10;;;17
0801;27;39;2;3;71
0802;34;47;2;2;85
0803;48;53;8;1;110
0804;48;55;10;2;115
0805;31;44;1;1;77
0806;70;74;7;5;156
0807;27;34;2;2;65
0808;44;44;2;3;93
0809;61;65;7;4;137
0810;43;41;1;2;87
0811;17;28;;;45
0812;22;38;3;;63
0813;42;32;3;1;78
0814;48;54;;2;104
0815;98;152;13;5;268
0816;161;188;19;10;378
0817;;;;;
0818;105;113;9;9;236
0819;22;26;1;;49
0820;36;40;4;3;83
0821;31;37;3;;71
0822;;;;;
0823;14;20;3;2;39
0824;62;50;8;4;124
0825;27;20;2;1;50
0826;40;43;5;3;91
0827;35;36;6;4;81
0828;20;23;1;;44
0829;49;49;8;4;110
0830;41;33;3;2;79
0831;49;58;;5;112
0832;;;;;
0833;25;23;1;3;52
0834;33;25;4;2;64
0835;72;54;2;3;131
0836;44;34;2;3;83
0837;22;34;1;1;58
0838;40;30;3;2;75
0839;87;65;6;6;164
0840;15;23;2;2;42
0841;29;24;1;3;57
0842;37;28;1;4;70
0843;;;;;
0844;66;66;5;9;146
0845;38;32;2;3;75
0846;;;;;
0847;25;27;;2;54
0848;14;18;2;;34
0849;105;95;11;7;218
0850;12;20;1;;33
0851;59;112;15;5;191
0852;77;134;11;5;227
0853;103;119;7;8;237
0854;40;68;10;1;119
0855;43;76;5;1;125
0856;47;73;2;2;124
0857;38;83;11;2;134
0858;123;151;7;4;285
0859;56;116;7;6;185
0860;17;29;5;1;52
0861;16;18;5;1;40
0862;73;77;7;1;158
0863;67;71;8;2;148
0864;1;;;;1
0865;56;55;4;9;124
0866;90;88;8;6;192
0867;9;16;2;;27
0868;102;138;9;3;252
0869;61;77;2;2;142
0870;48;63;7;2;120
0871;15;17;2;2;36
0872;30;27;1;;58
0873;49;53;2;4;108
0874;39;63;6;2;110
0875;37;40;2;2;81
0876;17;18;4;;39
0877;15;16;;;31
0878;41;30;4;1;76
0879;58;65;3;2;128
0880;21;18;;;39
0881;31;25;3;;59
0882;;;;;
0883;1;;;;1
0884;;;;;
0885;9;6;;1;16
0886;;1;;;1
0887;;;;;
0888;76;68;2;2;148
0889;;;;;
0890;;;;;
0891;12;18;2;1;33
0892;8;7;1;;16
0893;9;10;;;19
0894;2;5;;;7
0895;;;;;
0896;32;34;5;3;74
0897;4;7;;;11
0898;59;62;3;1;125
0899;64;47;1;2;114
0900;13;15;1;3;32
0901;73;56;7;3;139
0902;115;138;13;5;271
0903;91;124;9;6;230
0904;96;62;6;;164
0905;92;75;6;8;181
0906;116;117;9;8;250
0907;43;46;2;3;94
0908;188;160;9;14;371
0909;43;43;1;1;88
0910;86;76;4;1;167
0911;88;86;7;3;184
0912;197;196;5;14;412
0913;64;45;;5;114
0914;31;17;2;;50
0915;20;14;;2;36
0916;12;9;;2;23
0917;124;108;3;3;238
0918;105;81;3;5;194
0919;94;90;7;5;196
0920;69;69;2;4;144
0921;137;137;6;6;286
0922;118;117;3;6;244
0923;90;71;5;8;174
0924;22;30;1;6;59
0925;13;13;2;4;32
0926;41;25;4;6;76
0927;104;82;2;13;201
