Sezioni 2001 (b);1. Comuni della provincia Bologna;2. Altre province Emilia-Romagna;3. Italia nord occidentale;4. Italia nord orientale;5. Italia centrale;6. Italia meridionale e insulare;7. Stati esteri;Totale
1769;100;36;12;9;22;102;85;366
1770;75;27;16;11;25;67;52;273
1771;20;7;1;1;3;4;15;51
1772;51;19;8;7;13;74;60;232
1773;;;;;;;;
1774;43;19;4;1;1;25;13;106
1775;;;;;;;;
1776;91;46;15;8;21;57;29;267
1777;49;19;12;8;6;30;16;140
1778;14;2;;1;1;1;;19
1779;9;8;1;5;1;23;5;52
1780;4;;;;2;2;4;12
1781;;;;;;;;
1782;1;;;;;;;1
1783;24;6;4;1;2;6;12;55
1784;;;;;;;;
1785;12;3;;;;3;1;19
1786;47;5;4;3;5;14;21;99
1787;77;20;6;2;12;28;34;179
1788;85;27;12;17;8;28;24;201
1789;52;8;11;10;7;24;12;124
1790;20;3;2;1;3;12;1;42
1791;38;15;5;5;8;27;26;124
1792;103;29;10;10;21;70;37;280
1793;91;33;20;15;19;70;38;286
1794;22;6;7;3;7;30;6;81
1795;92;19;8;7;17;38;47;228
1796;39;11;5;7;2;16;26;106
1797;81;22;18;7;14;58;49;249
1798;28;15;2;6;6;16;11;84
1799;40;11;2;7;15;31;7;113
1800;28;10;4;5;9;19;20;95
1801;11;2;2;2;8;2;;27
1802;6;6;2;3;1;6;7;31
1803;9;1;5;;;2;3;20
1804;54;29;3;8;15;23;8;140
1805;104;27;10;9;22;48;20;240
1806;106;42;22;20;17;55;28;290
1807;35;10;4;;5;9;2;65
1808;41;9;3;;4;6;6;69
1809;20;4;;2;2;2;1;31
1810;;;;;1;;;1
1811;72;20;14;7;14;34;24;185
1812;11;4;1;;1;4;10;31
1813;22;6;1;2;3;1;10;45
1814;58;11;13;3;8;23;31;147
1815;147;30;21;13;18;66;63;358
1816;44;14;3;4;8;15;18;106
1817;20;8;3;6;4;9;7;57
1818;90;26;13;6;10;36;34;215
1819;4;;;;;;;4
1820;44;14;3;7;7;19;16;110
1821;50;12;2;4;8;23;15;114
1822;10;8;1;;;15;7;41
1823;;;;;;;;
1824;101;28;17;10;16;41;29;242
1825;54;11;4;1;13;17;15;115
1826;9;;1;;;2;2;14
1827;17;9;5;1;4;6;13;55
1828;1;1;;;1;2;;5
1829;114;19;4;3;5;26;20;191
1830;53;20;5;4;7;16;15;120
1831;60;13;6;7;4;27;15;132
1832;46;32;10;5;5;22;38;158
1833;63;31;4;2;7;39;10;156
1834;62;20;15;8;15;23;16;159
1835;28;16;9;;12;9;6;80
1836;96;27;7;5;12;34;31;212
1837;105;34;8;7;12;67;34;267
1838;98;26;10;8;17;33;29;221
1839;18;5;;1;;4;6;34
1840;;;;;;;;
1841;5;1;2;;;2;2;12
1842;72;16;6;4;15;27;43;183
1843;24;20;6;3;4;24;20;101
1844;36;16;7;6;6;14;13;98
1845;81;30;18;7;19;37;28;220
1846;87;27;21;12;14;26;18;205
1847;59;14;9;12;11;18;12;135
1848;30;12;3;6;6;17;8;82
1849;87;31;11;20;18;59;43;269
1850;52;23;4;5;10;12;15;121
1851;63;22;6;15;14;26;47;193
1852;139;46;27;16;20;41;42;331
1853;46;21;14;12;15;29;33;170
1854;1;;;;;;;1
1855;31;6;9;3;1;15;14;79
1856;42;14;;3;7;25;21;112
1857;11;6;2;3;6;4;3;35
1858;21;8;1;4;2;16;7;59
1859;75;25;25;8;17;29;21;200
1860;82;35;15;6;12;37;21;208
1861;81;36;18;7;25;36;30;233
1862;11;5;1;3;8;4;1;33
1863;15;6;7;2;2;3;9;44
1864;6;8;5;;;2;;21
1865;10;2;;1;2;5;4;24
1866;32;7;3;3;4;5;15;69
1867;42;20;8;7;9;18;25;129
1868;93;38;17;7;19;36;44;254
1869;5;5;1;1;3;1;1;17
1870;42;23;5;8;11;25;9;123
1871;22;7;8;2;8;14;5;66
1872;35;8;9;4;11;20;27;114
1873;47;21;5;16;13;21;27;150
1874;36;18;4;5;9;6;9;87
1875;57;15;11;7;13;19;18;140
1876;40;16;16;5;16;19;26;138
1877;202;32;13;9;16;29;35;336
1878;33;7;2;5;4;8;4;63
1879;21;2;;2;2;5;4;36
1880;175;51;13;15;34;46;51;385
1881;43;10;6;10;10;6;19;104
1882;33;3;8;4;7;7;6;68
1883;5;1;1;2;2;7;6;24
1884;56;14;19;11;16;12;16;144
1885;;;;;;3;;3
1886;36;17;1;4;5;17;14;94
1887;43;12;15;5;10;10;3;98
1888;6;2;;;;;5;13
1889;12;4;5;1;3;3;7;35
1890;23;11;2;2;5;7;2;52
1891;29;13;5;6;2;11;4;70
1892;3;;;;1;1;;5
1893;12;16;4;5;9;6;5;57
1894;3;;;;;1;3;7
1895;8;1;;1;1;;;11
1896;13;5;4;7;6;2;3;40
1897;5;1;;1;1;1;2;11
1898;57;14;2;3;9;11;7;103
1899;52;25;8;8;9;8;15;125
1900;2;;2;;1;;5;10
1901;12;1;;1;2;7;7;30
1902;113;65;33;24;45;40;66;386
1903;;;;;;;;
1904;13;10;1;1;2;2;;29
1905;46;31;14;10;22;26;21;170
1906;58;47;18;18;28;16;15;200
1907;52;34;15;21;17;12;23;174
